step,loss,mean_score,median_score,std_score,max_score,min_score
251000,3.79,1.2,0.0,1.6,4.0,0.0
252000,3.79,0.0,0.0,0.0,0.0,0.0
253000,3.8,0.0,0.0,0.0,0.0,0.0
254000,3.8,2.4,2.0,1.2,5.0,0.0
255000,3.8,0.0,0.0,0.0,0.0,0.0
256000,3.8,0.0,0.0,0.0,0.0,0.0
257000,3.79,0.0,0.0,0.0,0.0,0.0
258000,3.79,2.0,2.0,1.48,4.0,0.0
259000,3.79,1.1,0.0,1.45,4.0,0.0
260000,3.79,2.4,2.0,0.8,4.0,2.0
261000,3.78,1.5,1.0,1.57,4.0,0.0
262000,3.78,1.3,0.0,1.68,4.0,0.0
263000,3.78,0.0,0.0,0.0,0.0,0.0
264000,3.78,2.8,2.0,1.08,5.0,2.0
265000,3.79,0.2,0.0,0.6,2.0,0.0
266000,3.79,2.3,2.0,0.64,4.0,2.0
267000,3.79,2.5,2.0,1.69,5.0,0.0
268000,3.78,2.3,2.0,1.1,4.0,0.0
269000,3.78,1.6,0.0,2.2,6.0,0.0
270000,3.78,2.0,2.0,1.18,4.0,0.0
271000,3.77,1.9,1.0,2.07,5.0,0.0
272000,3.78,0.8,0.0,1.33,4.0,0.0
273000,3.77,1.2,2.0,0.98,2.0,0.0
274000,3.66,2.3,2.0,0.64,4.0,2.0
275000,3.77,1.9,2.0,0.7,3.0,0.0
276000,3.78,2.0,2.0,0.0,2.0,2.0
277000,3.78,0.9,0.5,0.94,2.0,0.0
278000,3.78,1.6,1.0,1.74,4.0,0.0
279000,3.77,0.0,0.0,0.0,0.0,0.0
280000,3.77,2.0,1.0,2.24,6.0,0.0
281000,3.77,1.7,2.0,1.62,5.0,0.0
282000,3.77,2.1,2.0,1.76,5.0,0.0
283000,3.78,2.8,3.0,0.6,4.0,2.0
284000,3.77,2.2,2.0,0.98,4.0,0.0
285000,3.77,2.3,2.0,0.9,5.0,2.0
286000,3.77,2.1,2.0,0.94,4.0,0.0
287000,3.77,0.0,0.0,0.0,0.0,0.0
288000,3.76,0.2,0.0,0.6,2.0,0.0
289000,3.77,2.7,3.0,2.05,6.0,0.0
290000,3.77,1.6,0.0,2.2,6.0,0.0
291000,3.75,0.3,0.0,0.9,3.0,0.0
292000,3.77,2.0,2.0,1.18,4.0,0.0
293000,3.75,0.6,0.0,0.92,2.0,0.0
294000,3.76,0.0,0.0,0.0,0.0,0.0
295000,3.76,1.4,0.0,2.2,6.0,0.0
296000,3.75,2.1,2.0,1.81,6.0,0.0
297000,3.76,1.9,2.0,0.7,3.0,0.0
298000,3.76,1.5,2.0,1.36,4.0,0.0
299000,3.77,2.2,2.0,2.14,6.0,0.0
300000,3.77,2.1,2.0,0.3,3.0,2.0
301000,3.75,1.8,2.0,1.33,4.0,0.0
302000,3.75,1.9,2.0,0.7,3.0,0.0
303000,3.74,2.1,3.0,1.81,5.0,0.0
304000,3.74,1.9,1.0,2.21,6.0,0.0
305000,3.74,2.0,2.0,0.77,3.0,0.0
306000,3.76,1.7,1.0,2.0,6.0,0.0
307000,3.76,1.7,2.0,0.9,3.0,0.0
308000,3.75,2.6,2.5,1.69,5.0,0.0
309000,3.75,0.0,0.0,0.0,0.0,0.0
310000,3.74,2.3,2.0,2.15,5.0,0.0
311000,3.74,2.7,3.0,1.62,5.0,0.0
312000,3.75,1.6,1.0,1.8,5.0,0.0
313000,3.75,0.0,0.0,0.0,0.0,0.0
314000,3.75,0.2,0.0,0.6,2.0,0.0
315000,3.74,0.2,0.0,0.6,2.0,0.0
316000,3.74,1.5,1.0,1.69,5.0,0.0
317000,3.74,2.2,2.0,0.98,4.0,0.0
318000,3.74,1.7,2.0,0.9,3.0,0.0
319000,3.74,0.3,0.0,0.9,3.0,0.0
320000,3.75,1.3,1.0,1.35,3.0,0.0
321000,3.73,0.0,0.0,0.0,0.0,0.0
322000,3.74,0.0,0.0,0.0,0.0,0.0
323000,3.73,0.0,0.0,0.0,0.0,0.0
324000,3.74,2.7,2.5,0.78,4.0,2.0
325000,3.74,3.0,3.5,1.9,6.0,0.0
326000,3.73,1.5,1.0,1.69,5.0,0.0
327000,3.61,0.0,0.0,0.0,0.0,0.0
328000,3.72,1.8,2.0,1.66,5.0,0.0
329000,3.73,1.7,2.0,0.9,3.0,0.0
330000,3.73,2.0,2.0,1.61,5.0,0.0
331000,3.72,2.6,2.0,0.8,4.0,2.0
332000,3.73,1.2,1.0,1.33,4.0,0.0
333000,3.73,1.9,2.0,0.7,3.0,0.0
334000,3.71,0.0,0.0,0.0,0.0,0.0
335000,3.73,0.8,0.0,0.98,2.0,0.0
336000,3.73,0.0,0.0,0.0,0.0,0.0
337000,3.74,2.3,3.0,1.68,5.0,0.0
338000,3.74,0.0,0.0,0.0,0.0,0.0
339000,3.72,2.6,2.5,0.66,4.0,2.0
340000,3.73,1.1,1.0,1.14,3.0,0.0
341000,3.72,1.5,1.0,1.69,5.0,0.0
342000,3.72,1.8,2.0,1.33,4.0,0.0
343000,3.72,2.0,1.0,2.37,6.0,0.0
344000,3.73,2.0,2.0,0.89,4.0,0.0
345000,3.73,1.8,2.0,0.98,3.0,0.0
346000,3.71,2.7,3.0,0.64,4.0,2.0
347000,3.72,1.6,2.0,1.11,3.0,0.0
348000,3.72,1.0,1.0,1.0,2.0,0.0
349000,3.73,0.0,0.0,0.0,0.0,0.0
350000,3.72,0.0,0.0,0.0,0.0,0.0
351000,3.72,2.5,3.0,2.2,5.0,0.0
352000,3.71,0.0,0.0,0.0,0.0,0.0
